name,age,season,tournament,club,apps,mins,shots (off target),shots (on target),shots (blocked),goals,outside_of_box_goals,unsuccessful_dribbles,successful_dribbles,unsuccesful_touches,dispossessed,aerial_won,aerial_lost,total_passes,accurate_long_pass,inaccurate_long_pass,accurate_short_pass,inaccurate_short_pass,accurate_crosses,inaccurate_crosses,long_key_pass,short_key_pass,assists
Viktor Fischer,24.0,2020,UEL,FCCopenhagen,6.0,404.0,0.3,undefined,0.2,undefined,undefined,0.3,1.3,2.2,0.7,undefined,1.3,22.2,0.3,0.8,18.0,3.0,22.2,0.3,undefined,1.5,undefined
Viktor Fischer,23.0,2019,UEL,FCCopenhagen,2.0,161.0,0.5,0.5,1.0,undefined,undefined,undefined,2.0,3.5,1.0,undefined,1.5,26.5,2.0,2.0,19.0,3.5,26.5,2.0,undefined,2.0,0.5
Viktor Fischer,23.0,2019,UNL,Denmark,1.0,45.0,1.0,undefined,1.0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,2.0,25.0,1.0,undefined,19.0,5.0,25.0,1.0,undefined,undefined,undefined
Viktor Fischer,22.0,2018,GB,Mainz05,10.0,331.0,0.2,0.2,0.3,undefined,undefined,1.3,0.4,1.1,0.4,0.2,0.8,10.3,0.6,0.2,7.4,2.1,10.3,0.6,undefined,0.5,undefined
Viktor Fischer,22.0,2018,UEL,FCCopenhagen,2.0,118.0,undefined,1.0,undefined,0.5,undefined,1.0,3.0,1.0,0.5,0.5,0.5,24.5,1.5,undefined,18.5,4.5,24.5,1.5,undefined,0.5,undefined
Viktor Fischer,21.0,2017,EPL,Middlesbrough,13.0,439.0,0.2,0.2,0.5,undefined,undefined,0.7,0.8,0.5,0.9,0.2,0.3,11.2,0.5,0.4,8.5,1.8,11.2,0.5,0.2,0.3,0.2
Viktor Fischer,22.0,2018,WC,Denmark,1.0,31.0,undefined,undefined,1.0,undefined,undefined,2.0,undefined,2.0,undefined,undefined,1.0,8.0,undefined,undefined,8.0,undefined,8.0,undefined,undefined,undefined,undefined
Viktor Fischer,20.0,2016,UEL,Ajax,6.0,428.0,0.8,1.3,0.2,0.3,0.3,1.2,1.7,1.8,1.7,0.3,1.3,22.7,1.2,0.5,17.2,3.8,22.7,1.2,0.2,1.2,0.2
Viktor Fischer,20.0,2016,NE,Ajax,28.0,1191.0,0.6,0.8,0.1,0.3,undefined,0.8,1.1,1.0,1.0,0.3,0.6,15.9,0.7,0.5,12.0,2.6,15.9,0.7,0.1,0.6,0.1
Viktor Fischer,19.0,2015,IEU,DenmarkU21,4.0,142.0,0.3,0.5,undefined,0.3,undefined,0.8,undefined,1.0,0.5,undefined,0.8,11.3,0.8,0.5,7.5,2.5,11.3,0.8,undefined,undefined,undefined
Viktor Fischer,19.0,2015,NE,Ajax,4.0,217.0,0.8,1.3,0.5,0.8,undefined,0.8,1.5,2.3,0.5,undefined,0.5,19.8,1.0,0.5,13.8,4.5,19.8,1.0,undefined,1.5,undefined
Viktor Fischer,18.0,2014,UCL,Ajax,5.0,361.0,1.0,0.4,1.0,undefined,undefined,1.2,0.4,1.6,1.0,1.0,1.2,25.0,0.6,0.4,19.6,4.4,25.0,0.6,undefined,1.0,undefined
Viktor Fischer,18.0,2014,UEL,Ajax,1.0,90.0,1.0,undefined,1.0,undefined,undefined,5.0,2.0,2.0,1.0,1.0,undefined,29.0,undefined,undefined,22.0,7.0,29.0,undefined,undefined,undefined,undefined
Viktor Fischer,18.0,2014,NE,Ajax,24.0,1636.0,1.1,0.7,0.8,0.1,undefined,2.0,2.2,1.4,1.7,0.5,0.7,26.9,0.7,0.2,21.5,4.5,26.9,0.7,undefined,1.0,0.1
Viktor Fischer,17.0,2013,UEL,Ajax,2.0,172.0,1.0,undefined,0.5,undefined,undefined,2.0,0.5,1.5,1.5,1.0,undefined,41.0,0.5,1.0,35.0,4.5,41.0,0.5,undefined,0.5,undefined
Viktor Fischer,17.0,2013,UCL,Ajax,3.0,97.0,1.0,0.7,undefined,undefined,undefined,1.0,0.3,1.3,0.7,undefined,0.3,12.7,0.3,undefined,10.7,1.7,12.7,0.3,undefined,0.3,undefined
Tim Matavz,28.0,2020,NE,Vitesse,25.0,2051.0,0.8,1.1,0.3,0.5,undefined,0.9,0.5,1.9,0.5,1.8,2.6,10.1,0.1,0.2,6.1,3.7,10.1,0.1,undefined,1.0,0.2
Tim Matavz,27.0,2019,NE,Vitesse,18.0,1001.0,0.6,0.7,0.4,0.5,undefined,0.6,0.3,0.8,0.8,2.0,3.2,8.2,undefined,0.1,4.6,3.6,8.2,undefined,undefined,0.6,0.1
Tim Matavz,27.0,2019,UNL,Slovenia,1.0,17.0,undefined,1.0,undefined,undefined,undefined,2.0,undefined,undefined,undefined,2.0,1.0,4.0,undefined,undefined,2.0,2.0,4.0,undefined,undefined,1.0,undefined
Tim Matavz,26.0,2018,UEL,Vitesse,5.0,354.0,1.2,0.6,undefined,0.2,undefined,0.2,0.4,1.8,0.8,1.6,3.6,10.0,0.2,undefined,5.6,4.2,10.0,0.2,undefined,0.6,undefined
Tim Matavz,26.0,2018,NE,Vitesse,34.0,2736.0,0.9,1.1,0.6,0.5,undefined,0.7,0.4,2.4,1.1,3.5,3.6,13.0,0.2,0.3,6.4,6.1,13.0,0.2,undefined,0.7,undefined
Tim Matavz,25.0,2017,GB2,Nuernberg,20.0,1490.0,1.0,0.8,0.8,0.3,0.1,0.5,0.3,1.4,0.5,5.5,8.5,14.3,0.2,0.4,7.3,6.5,14.3,0.2,undefined,0.9,0.2
Tim Matavz,24.0,2016,ISA,Genoa,7.0,466.0,0.3,0.6,0.6,undefined,undefined,0.3,0.1,1.0,1.3,2.4,5.0,13.9,0.1,0.3,8.3,5.1,13.9,0.1,undefined,0.6,undefined
Tim Matavz,24.0,2016,GB,Augsburg,11.0,369.0,0.5,0.3,0.4,undefined,undefined,0.4,0.4,0.6,0.7,1.6,3.4,6.3,undefined,0.1,3.7,2.5,6.3,undefined,undefined,0.4,undefined
Tim Matavz,24.0,2016,UEL,Augsburg,4.0,257.0,0.5,0.5,undefined,undefined,undefined,1.3,0.3,1.5,0.8,1.3,4.5,10.3,0.3,0.5,5.5,4.0,10.3,0.3,undefined,0.3,undefined
Tim Matavz,23.0,2015,GB,Augsburg,16.0,516.0,0.6,0.3,0.2,0.2,undefined,0.6,0.3,0.8,0.4,2.1,3.1,6.3,undefined,undefined,3.8,2.6,6.3,undefined,undefined,0.3,0.1
Tim Matavz,22.0,2014,UEL,PSVEindhoven,2.0,106.0,1.0,undefined,0.5,undefined,undefined,1.0,0.5,1.5,0.5,undefined,3.5,14.0,0.5,0.5,8.5,4.5,14.0,0.5,undefined,0.5,undefined
Tim Matavz,22.0,2014,NE,PSVEindhoven,15.0,675.0,0.5,0.6,0.1,0.1,undefined,0.6,0.2,0.5,0.7,1.1,2.0,9.1,0.3,0.1,6.1,2.6,9.1,0.3,0.1,0.7,0.2
Tim Matavz,21.0,2013,UEL,PSVEindhoven,5.0,376.0,0.8,1.0,undefined,0.6,undefined,0.8,0.2,0.8,0.8,2.0,3.0,14.4,0.2,0.4,8.6,5.2,14.4,0.2,undefined,0.8,undefined
