district,poverty level (2016)
Potter Valley Community Unified,31.9
Portola Valley Elementary,1
Poway Unified,5.4
Princeton Joint Unified,12.2
Raisin City Elementary,39.3
Ramona City Unified,10.2
Rancho Santa Fe Elementary,13.1
Ravendale-Termo Elementary,20
Ravenswood City Elementary,17
Raymond-Knowles Union Elementary,20.2
Red Bluff Union Elementary,29.6
Red Bluff Joint Union High,19.6
Redding Elementary,22.2
Redlands Unified,15.9
Redwood City Elementary,10.3
Reed Union Elementary,5.4
Reeds Creek Elementary,29.3
Reef-Sunset Unified,27.7
Rescue Union Elementary,6.6
Kashia Elementary,66.7
Rialto Unified,25.7
Richfield Elementary,23.9
Richgrove Elementary,49
Richmond Elementary,8.7
West Contra Costa Unified,13.9
Rim of the World Unified,18.1
Rincon Valley Union Elementary,7.3
Rio Bravo-Greeley Union Elementary,22.5
Rio Dell Elementary,21.1
Rio Elementary,16.9
Ripon Unified,11.3
River Delta Joint Unified,18.2
Riverside Unified,17.7
Roberts Ferry Union Elementary,14.6
Robla Elementary,28.5
Rockford Elementary,26.5
Romoland Elementary,19.7
Rosedale Union Elementary,8.8
Roseland,16.5
Rosemead Elementary,27.7
Roseville City Elementary,7.2
Roseville Joint Union High,6.3
Ross Elementary,4.8
Round Valley Joint Elementary,18.6
Round Valley Unified,30.9
Rowland Unified,20.8
Sacramento City Unified,25.9
Saddleback Valley Unified,6.9
Salida Union Elementary,10.6
Salinas City Elementary,23
Salinas Union High,16.7
San Antonio Union Elementary,17.1
San Ardo Union Elementary,20.8
San Benito High,12
San Bernardino City Unified,37.7
San Bruno Park Elementary,7.5
San Carlos Elementary,2.7
San Diego City Unified,18
San Dieguito Union High,5.3
San Francisco Unified,12.4
San Gabriel Unified,20
San Jacinto Unified,25.7
San Jose Unified,10.2
San Juan Unified,19.5
San Leandro Unified,13.7
San Lorenzo Unified,14.8
San Lorenzo Valley Unified,6.6
San Lucas Union Elementary,20.6
San Luis Coastal Unified,9
San Marino Unified,12.5
San Marcos Unified,11.9
San Mateo-Foster City Elementary,7.1
San Mateo Union High,5.6
San Miguel Joint Union Elementary,15.8
San Pasqual Union Elementary,5.3
San Pasqual Valley Unified,42.2
San Rafael City Elementary,14.1
San Rafael City High,10.9
San Ramon Valley Unified,2.4
San Ysidro Elementary,29.3
Sanger Unified,27.6
Santa Ana Unified,22.7
Santa Clara Unified,7.6
Santa Clara Elementary,6.3
Santa Cruz City Elementary,10.2
Santa Cruz City High,13.9
Santa Maria Joint Union High,16.7
Santa Monica-Malibu Unified,11.3
Santa Rita Union Elementary,16.6
Santa Rosa Elementary,13.6
Santa Rosa High,9.7
Santa Ynez Valley Union High,4.1
Santee,10
Saratoga Union Elementary,3
Saucelito Elementary,34.5
Saugus Union Elementary,6.9
Sausalito Elementary,16.5
Savanna Elementary,20
Scotia Union Elementary,10.3
Sebastopol Union Elementary,9.3
Seeley Union Elementary,34.3
Seiad Elementary,26.1
Selma Unified,35.2
Semitropic Elementary,28.6
Sequoia Union Elementary,20.3
Sequoia Union High,6.6
Shaffer Union Elementary,17.6
Shandon Joint Unified,14.4
Shasta Union Elementary,15.8
Shasta Union High,16.3
Shiloh Elementary,23.7
Shoreline Unified,13
Sierra-Plumas Joint Unified,18.3
Sierra Sands Unified,24.6
Sierra Unified,16.6
Silver Fork Elementary,41.2
Silver Valley Unified,19.3
Simi Valley Unified,7.4
Siskiyou Union High,12.8
Snelling-Merced Falls Union Elementary,23.3
Snowline Joint Unified,15.3
Victor Valley Union High,33.6
Solana Beach Elementary,5.8
Soledad Unified,18
Solvang Elementary,24.8
Somis Union Elementary,10.2
Sonoma Valley Unified,11.8
Sonora Elementary,35
Sonora Union High,14.1
Soquel Elementary,9
Soulsbyville Elementary,15.4
South Bay Union Elementary,18.2
South Bay Union,24.7
South Fork Union,21.8
South Pasadena Unified,7.6
South San Francisco Unified,7.3
South Whittier Elementary,26.2
Southern Humboldt Joint Unified,20.7
Southern Kern Unified,25.4
Southern Trinity Joint Unified,33.6
Southside Elementary,8.1
Spencer Valley Elementary,28.1
Spreckels Union Elementary,6.9
Springville Union Elementary,27.7
St. Helena Unified,15.2
Standard Elementary,29.2
Stanislaus Union Elementary,17.2
Stockton Unified,26.7
Stone Corral Elementary,44.5
Stony Creek Joint Unified,31.3
Strathmore Union Elementary,40.4
Sulphur Springs Union Elementary,14.6
Summerville Elementary,30.4
Summerville Union High,12.8
Sundale Union Elementary,29.7
Sunnyside Union Elementary,42.1
